,studrollno,SubName,per_lect
2692,19-7003,chemistry,96.875
2693,19-7003,evs,100.0
2694,19-7003,ge:botany,92.3076923076923
2695,19-7003,maths,100.0
2696,19-7003,physics,96.66666666666667
2697,19-7006,chemistry,84.375
2698,19-7006,evs,73.33333333333333
2699,19-7006,ge:history,78.57142857142857
2700,19-7006,maths,75.0
2701,19-7006,physics,96.66666666666667
2702,19-7007,chemistry,93.75
2703,19-7007,evs,93.33333333333333
2704,19-7007,ge:electronics,100.0
2705,19-7007,maths,79.16666666666666
2706,19-7007,physics,90.0
2707,19-7016,chemistry,93.75
2708,19-7016,evs,93.33333333333333
2709,19-7016,ge:electronics,100.0
2710,19-7016,maths,70.83333333333334
2711,19-7016,physics,90.0
2712,19-7018,chemistry,87.5
2713,19-7018,evs,80.0
2714,19-7018,ge:psychology,93.33333333333333
2715,19-7018,maths,70.83333333333334
2716,19-7018,physics,96.66666666666667
2717,19-7019,chemistry,84.375
2718,19-7019,evs,46.666666666666664
2719,19-7019,ge:psychology,80.0
2720,19-7019,maths,4.166666666666666
2721,19-7019,physics,70.0
2722,19-7021,chemistry,96.875
2723,19-7021,evs,80.0
2724,19-7021,ge:electronics,100.0
2725,19-7021,maths,83.33333333333334
2726,19-7021,physics,93.33333333333333
2727,19-7022,chemistry,96.875
2728,19-7022,evs,93.33333333333333
2729,19-7022,ge:psychology,100.0
2730,19-7022,maths,87.5
2731,19-7022,physics,93.33333333333333
2732,19-7023,chemistry,100.0
2733,19-7023,evs,86.66666666666667
2734,19-7023,ge:english,100.0
2735,19-7023,maths,100.0
2736,19-7023,physics,100.0
2737,19-7027,chemistry,84.375
2738,19-7027,evs,100.0
2739,19-7027,ge:english,86.66666666666667
2740,19-7027,maths,83.33333333333334
2741,19-7027,physics,86.66666666666667
2742,19-7028,chemistry,96.875
2743,19-7028,evs,100.0
2744,19-7028,ge:psychology,100.0
2745,19-7028,maths,91.66666666666666
2746,19-7028,physics,100.0
2747,19-7029,chemistry,3.125
2748,19-7029,evs,6.666666666666667
2749,19-7029,ge:english,0.0
2750,19-7029,maths,4.166666666666666
2751,19-7029,physics,53.333333333333336
2752,19-7030,chemistry,96.875
2753,19-7030,evs,93.33333333333333
2754,19-7030,ge:botany,100.0
2755,19-7030,maths,95.83333333333334
2756,19-7030,physics,100.0
2757,19-7035,chemistry,100.0
2758,19-7035,evs,100.0
2759,19-7035,ge:cs,95.0
2760,19-7035,maths,100.0
2761,19-7035,physics,100.0
2762,19-7037,chemistry,84.375
2763,19-7037,evs,60.0
2764,19-7037,ge:psychology,60.0
2765,19-7037,maths,62.5
2766,19-7037,physics,79.41176470588235
2767,19-7040,chemistry,100.0
2768,19-7040,evs,86.66666666666667
2769,19-7040,ge:english,93.33333333333333
2770,19-7040,maths,87.5
2771,19-7040,physics,94.11764705882352
2772,19-7046,chemistry,84.375
2773,19-7046,evs,46.666666666666664
2774,19-7046,ge:electronics,100.0
2775,19-7046,maths,75.0
2776,19-7046,physics,70.58823529411765
2777,19-7048,chemistry,87.5
2778,19-7048,evs,80.0
2779,19-7048,ge:cs,80.0
2780,19-7048,maths,66.66666666666666
2781,19-7048,physics,91.17647058823529
2782,19-7051,chemistry,96.875
2783,19-7051,evs,86.66666666666667
2784,19-7051,ge:botany,92.3076923076923
2785,19-7051,maths,91.66666666666666
2786,19-7051,physics,97.05882352941177
2787,19-7052,chemistry,100.0
2788,19-7052,evs,86.66666666666667
2789,19-7052,ge:botany,92.3076923076923
2790,19-7052,maths,87.5
2791,19-7052,physics,97.05882352941177
2792,19-7054,chemistry,90.625
2793,19-7054,evs,93.33333333333333
2794,19-7054,ge:psychology,100.0
2795,19-7054,maths,87.5
2796,19-7054,physics,79.41176470588235
2797,19-7055,chemistry,100.0
2798,19-7055,evs,100.0
2799,19-7055,ge:cs,95.0
2800,19-7055,maths,100.0
2801,19-7055,physics,97.05882352941177
2802,19-7056,chemistry,96.875
2803,19-7056,evs,100.0
2804,19-7056,ge:botany,100.0
2805,19-7056,maths,91.66666666666666
2806,19-7056,physics,94.11764705882352
2807,19-7057,chemistry,96.875
2808,19-7057,evs,100.0
2809,19-7057,ge:english,100.0
2810,19-7057,maths,91.66666666666666
2811,19-7057,physics,82.35294117647058
2812,19-7059,chemistry,93.75
2813,19-7059,evs,86.66666666666667
2814,19-7059,ge:psychology,93.33333333333333
2815,19-7059,maths,91.66666666666666
2816,19-7059,physics,97.05882352941177
2817,19-7061,chemistry,96.875
2818,19-7061,evs,93.33333333333333
2819,19-7061,ge:marathi,87.5
2820,19-7061,maths,91.66666666666666
2821,19-7061,physics,97.05882352941177
2822,19-7062,chemistry,100.0
2823,19-7062,evs,86.66666666666667
2824,19-7062,ge:electronics,100.0
2825,19-7062,maths,87.5
2826,19-7062,physics,94.11764705882352
2827,19-7063,chemistry,100.0
2828,19-7063,evs,86.66666666666667
2829,19-7063,ge:botany,100.0
2830,19-7063,maths,100.0
2831,19-7063,physics,97.05882352941177
2832,19-7067,chemistry,100.0
2833,19-7067,evs,93.33333333333333
2834,19-7067,ge:botany,84.61538461538461
2835,19-7067,maths,96.0
2836,19-7067,physics,97.05882352941177
2837,19-7068,chemistry,81.25
2838,19-7068,evs,93.33333333333333
2839,19-7068,ge:konkani,81.81818181818183
2840,19-7068,maths,84.0
2841,19-7068,physics,91.17647058823529
2842,19-7074,chemistry,87.5
2843,19-7074,evs,93.33333333333333
2844,19-7074,ge:botany,92.3076923076923
2845,19-7074,maths,92.0
2846,19-7074,physics,85.29411764705883
2847,19-7076,chemistry,100.0
2848,19-7076,evs,93.33333333333333
2849,19-7076,ge:botany,100.0
2850,19-7076,maths,100.0
2851,19-7076,physics,100.0
2852,19-7078,chemistry,90.625
2853,19-7078,evs,66.66666666666666
2854,19-7078,ge:psychology,66.66666666666666
2855,19-7078,maths,84.0
2856,19-7078,physics,91.17647058823529
2857,19-7079,chemistry,81.25
2858,19-7079,evs,86.66666666666667
