,studrollno,SubName,SubjectId,per_lect
10566,14-1712     ,ENC105 American Literature,118604,54.166666666666664
10567,14-1712     ,ENC106 Modern European  Drama,30332,63.63636363636363
10568,14-1712     ,ENC107  British Romantic  Literature,29655,61.53846153846154
10569,14-1712     ,END101  Literary  Criticism,30329,40.0
10570,14-1712     ,END103 Modern  Indian  Writing  in English Translation ,29654,53.84615384615385
10571,14-1712     ,END106  Science And Detective Fiction,30330,61.53846153846154
10572,17-1001     ,PSC 105 Psychological Disorders,30309,90.9090909090909
10573,17-1001     ,PSC 106 (Honours) Psychological  Testing,60620,100.0
10574,17-1001     ,PSC 107 (Honours)  Positive Psychology,30311,86.66666666666667
10575,17-1001     ,PSD 101 (Honours)  Statistics  for  Psychology,30308,100.0
10576,17-1001     ,PSD 102  Health Psychology,30307,100.0
10577,17-1001     ,PSD 104 (Honours)  Criminal  Psychology,30306,92.3076923076923
10578,17-1001     ,Project,29992,100.0
10579,17-1002     ,ECC105 INDIAN ECONOMY ,10958,87.5
10580,17-1002     ,ECD107 PUBLIC  FINANCE I,5480,92.85714285714286
10581,17-1002     ,HSC 105  Indian National Movement,5515,100.0
10582,17-1002     ,HSD103  Rise  of  the  Modern West,5483,90.9090909090909
10583,17-1002     ,Project,30007,100.0
10584,17-1003     ,HSC 105  Indian National Movement,5515,100.0
10585,17-1003     ,HSD103  Rise  of  the  Modern West,5483,81.81818181818183
10586,17-1003     ,PSC 105 Psychological Disorders,30309,63.63636363636363
10587,17-1003     ,PSD 102  Health Psychology,30307,77.77777777777779
10588,17-1006     ,PSC 105 Psychological Disorders,30309,90.9090909090909
10589,17-1006     ,PSC 106 (Honours) Psychological  Testing,60620,83.33333333333334
10590,17-1006     ,PSC 107 (Honours)  Positive Psychology,30311,80.0
10591,17-1006     ,PSD 101 (Honours)  Statistics  for  Psychology,30308,100.0
10592,17-1006     ,PSD 102  Health Psychology,30307,100.0
10593,17-1006     ,PSD 104 (Honours)  Criminal  Psychology,30306,92.3076923076923
10594,17-1006     ,Project,29992,100.0
10595,17-1007     ,ECC105 INDIAN ECONOMY ,5479,100.0
10596,17-1007     ,ECD109 INTERNATIONAL  ECONOMICS,5481,93.33333333333333
10597,17-1007     ,PSC 105 Psychological Disorders,30309,90.9090909090909
10598,17-1007     ,PSD 102  Health Psychology,30307,88.88888888888889
10599,17-1008     ,ECC105 INDIAN ECONOMY ,5479,100.0
10600,17-1008     ,ECD109 INTERNATIONAL  ECONOMICS,5481,100.0
10601,17-1008     ,PSC 105 Psychological Disorders,30309,100.0
10602,17-1008     ,PSD 102  Health Psychology,30307,88.88888888888889
10603,17-1010     ,ECC105 INDIAN ECONOMY ,10958,68.75
10604,17-1010     ,ECD107 PUBLIC  FINANCE I,5480,71.42857142857143
10605,17-1010     ,HSC 105  Indian National Movement,5515,84.61538461538461
10606,17-1010     ,HSD103  Rise  of  the  Modern West,5483,81.81818181818183
10607,17-1011     ,PSC 105 Psychological Disorders,30309,81.81818181818183
10608,17-1011     ,PSC 106 (Honours) Psychological  Testing,60620,94.44444444444444
10609,17-1011     ,PSC 107 (Honours)  Positive Psychology,30311,100.0
10610,17-1011     ,PSD 101 (Honours)  Statistics  for  Psychology,30308,100.0
10611,17-1011     ,PSD 102  Health Psychology,30307,66.66666666666666
10612,17-1011     ,PSD 104 (Honours)  Criminal  Psychology,30306,84.61538461538461
10613,17-1012     ,PSC 105 Psychological Disorders,30309,81.81818181818183
10614,17-1012     ,PSC 106 (Honours) Psychological  Testing,60620,94.44444444444444
10615,17-1012     ,PSC 107 (Honours)  Positive Psychology,30311,93.33333333333333
10616,17-1012     ,PSD 101 (Honours)  Statistics  for  Psychology,30308,100.0
10617,17-1012     ,PSD 102  Health Psychology,30307,77.77777777777779
10618,17-1012     ,PSD 104 (Honours)  Criminal  Psychology,30306,61.53846153846154
10619,17-1013     ,PSC 105 Psychological Disorders,30309,63.63636363636363
10620,17-1013     ,PSC 106 (Honours) Psychological  Testing,60620,94.44444444444444
