studrollno,Accommodation Operation,Accountancy,Bakery,Banking,Biology,Botany,Business Studies,Chemistry,Civics,Computer Application,Co-operation,Economics,English,French,General Foundation Course,Hindi,History,Konkani,Logic,Marathi,Mathematics,Physics,Political Science,Portuguese,Psychology,Secretarial Practice,Sociology,Hindi_y,History_y,Political Science_y,Portuguese_y,Psychology_y,Economics_y,English_y,Konkani_y,Marathi_y,Philosophy,Sociology_y
19-1001,0,0,0,0,0,0,0,0,0,0,0,80,81,61,0,0,85,0,0,0,0,0,0,0,90,0,96,ND,ND,ND,ND,A,A,ND,ND,ND,ND,A+
19-1002,0,0,0,0,0,0,0,0,0,0,0,99,78,0,0,90,0,0,0,90,0,0,0,0,86,0,80,ND,ND,ND,ND,A,A,ND,ND,ND,ND,A
19-1003,0,0,0,0,0,0,0,0,0,0,0,47,47,0,0,45,60,0,0,0,0,0,0,0,43,0,45,ND,ND,ND,ND,F,P,ND,ND,ND,ND,F
19-1004,0,75,0,0,0,0,82,0,0,0,0,79,68,67,0,0,0,0,0,0,75,0,0,0,0,0,0,ND,ND,ND,ND,A,A+,ND,ND,ND,ND,A+
19-1005,0,0,0,0,0,0,0,0,0,0,0,96,82,0,0,89,0,89,0,0,0,0,0,0,93,0,100,ND,ND,ND,ND,A,A,ND,ND,ND,ND,A
19-1006,0,0,0,0,0,0,0,0,0,0,0,81,71,0,0,0,65,0,0,0,0,0,63,61,74,0,0,ND,ND,ND,ND,B+,B+,ND,ND,ND,ND,B
19-1007,0,0,0,0,0,0,0,0,0,0,0,85,75,45,0,0,91,0,0,0,0,0,0,0,84,0,87,ND,ND,ND,ND,B+,B+,ND,ND,ND,ND,A
19-1008,0,0,0,0,0,0,0,0,0,0,0,93,76,0,0,84,94,0,0,0,0,0,85,0,94,0,0,ND,ND,ND,ND,A+,A+,ND,ND,ND,ND,A+
19-1009,0,0,0,0,0,0,0,0,0,0,0,69,76,0,0,0,85,70,0,0,0,0,0,0,79,0,96,ND,ND,ND,ND,B+,A,ND,ND,ND,ND,A
19-1010,0,0,0,0,0,0,0,0,0,0,0,75,73,0,0,59,0,57,0,0,0,0,0,0,64,0,58,ND,ND,ND,ND,F,C,ND,ND,ND,ND,F
19-1011,0,0,0,0,0,0,0,0,0,0,0,90,61,0,0,75,0,65,0,0,0,0,0,0,85,0,57,ND,ND,ND,ND,C,A,ND,ND,ND,ND,B
19-1012,0,0,0,0,0,0,0,0,0,0,0,90,71,0,0,85,88,0,0,0,0,0,0,0,81,0,81,ND,ND,ND,ND,B+,A+,ND,ND,ND,ND,A
19-1013,0,0,0,0,0,0,0,0,0,0,0,91,64,0,0,84,80,0,0,0,0,0,0,0,85,0,89,ND,ND,ND,ND,A,A,ND,ND,ND,ND,O
19-1014,0,0,0,0,0,0,0,0,0,0,0,87,77,0,0,73,84,0,0,0,0,0,0,0,95,0,96,ND,ND,ND,ND,B,A,ND,ND,ND,ND,A
19-1015,0,0,0,0,0,0,0,0,0,0,0,92,69,0,0,0,79,0,0,87,0,0,78,0,0,0,76,ND,ND,ND,ND,B+,B+,ND,ND,ND,ND,B+
19-1016,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,83,85,0,0,0,0,0,0,0,85,0,0,ND,ND,ND,ND,B+,A,ND,ND,ND,ND,A
19-1018,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,92,0,0,0,0,0,0,0,84,0,0,ND,ND,ND,ND,A,A+,ND,ND,ND,ND,A+
19-1019,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,79,0,82,0,0,0,0,0,0,83,0,0,ND,ND,ND,ND,C,B,ND,ND,ND,ND,C
19-1020,0,0,0,0,0,0,0,0,0,0,0,0,69,44,0,0,68,0,0,0,0,0,0,0,79,0,0,ND,ND,ND,ND,B+,B,ND,ND,ND,ND,F
19-1021,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,69,0,0,0,67,0,0,0,0,67,0,0,ND,ND,ND,ND,F,P,ND,ND,ND,ND,F
19-1031,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,70,73,0,0,0,0,0,0,90,0,0,ND,ND,B+,ND,ND,B+,ND,ND,ND,ND,B+
19-1032,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,82,0,0,0,0,0,0,0,0,73,0,ND,ND,P,ND,ND,B+,ND,ND,ND,ND,B+
19-1034,0,0,0,0,0,0,96,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,100,0,0,0,100,ND,ND,A+,ND,ND,A+,ND,ND,ND,ND,O
19-1036,0,0,0,0,0,0,0,0,0,0,0,96,65,0,0,0,95,93,0,0,0,0,0,0,0,0,0,ND,ND,O,ND,ND,O,ND,ND,ND,ND,O
19-1037,0,0,0,0,0,0,0,0,0,0,0,84,66,0,0,86,0,0,0,0,0,0,97,0,0,0,0,ND,ND,C,ND,ND,B+,ND,ND,ND,ND,B+
19-1038,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,83,0,73,0,0,0,0,0,0,89,0,0,ND,ND,B+,ND,ND,B+,ND,ND,ND,ND,B+
